iter	Passed	Remaining
600	3102	27874
601	3107	27864
602	3112	27856
603	3117	27847
604	3122	27840
605	3126	27829
606	3131	27819
607	3135	27810
608	3140	27803
609	3145	27794
610	3149	27781
611	3154	27769
612	3158	27756
613	3162	27743
614	3167	27733
615	3171	27720
616	3175	27707
617	3180	27694
618	3184	27682
619	3188	27670
620	3192	27655
621	3196	27640
622	3201	27628
623	3205	27615
624	3209	27605
625	3214	27591
626	3218	27576
627	3222	27563
628	3226	27550
629	3230	27537
630	3234	27524
631	3239	27512
632	3243	27502
633	3248	27491
634	3252	27478
635	3256	27462
636	3260	27449
637	3264	27437
638	3269	27427
639	3274	27419
640	3279	27415
641	3283	27407
642	3288	27397
643	3293	27387
644	3297	27377
645	3302	27366
646	3306	27358
647	3311	27349
648	3315	27339
649	3320	27329
650	3324	27319
651	3329	27310
652	3334	27301
653	3338	27290
654	3342	27278
655	3347	27267
656	3351	27256
657	3355	27245
658	3359	27229
659	3363	27213
660	3367	27199
661	3371	27183
662	3375	27169
663	3378	27152
664	3382	27138
665	3386	27124
666	3390	27110
667	3394	27096
668	3398	27081
669	3402	27066
670	3406	27052
671	3410	27037
672	3413	27022
673	3417	27008
674	3422	26996
675	3425	26980
676	3429	26968
677	3434	26958
678	3438	26943
679	3442	26928
680	3445	26914
681	3449	26899
682	3453	26885
683	3457	26869
684	3461	26855
685	3465	26841
686	3468	26827
687	3472	26812
688	3476	26797
689	3480	26783
690	3484	26769
691	3488	26756
692	3491	26741
693	3495	26727
694	3499	26713
695	3503	26700
696	3507	26687
697	3511	26672
698	3515	26661
699	3519	26649
700	3523	26636
701	3527	26623
702	3531	26609
703	3535	26595
704	3539	26582
705	3543	26568
706	3547	26555
707	3550	26542
708	3555	26529
709	3558	26515
710	3562	26501
711	3566	26488
712	3570	26477
713	3574	26463
714	3578	26450
715	3582	26438
716	3586	26422
717	3590	26410
718	3593	26396
719	3597	26384
720	3601	26371
721	3605	26357
722	3609	26345
723	3613	26333
724	3617	26319
725	3621	26305
726	3624	26291
727	3628	26279
728	3632	26265
729	3636	26252
730	3640	26239
731	3644	26226
732	3648	26213
733	3651	26200
734	3655	26186
735	3659	26174
736	3663	26161
737	3667	26147
738	3671	26135
739	3675	26125
740	3679	26112
741	3683	26100
742	3687	26087
743	3690	26075
744	3694	26062
745	3698	26050
746	3702	26037
747	3706	26025
748	3710	26012
749	3714	26001
750	3718	25987
751	3722	25975
752	3725	25962
753	3729	25949
754	3733	25935
755	3736	25921
756	3740	25908
757	3744	25896
758	3748	25882
759	3752	25871
760	3756	25861
761	3760	25848
762	3764	25837
763	3768	25826
764	3771	25812
765	3775	25797
766	3779	25784
767	3782	25771
768	3786	25758
769	3790	25744
770	3794	25731
771	3798	25721
772	3801	25708
773	3805	25694
774	3809	25680
775	3812	25667
776	3816	25654
777	3820	25641
778	3824	25630
779	3827	25617
780	3831	25604
781	3835	25591
782	3839	25581
783	3843	25568
784	3846	25556
785	3850	25544
786	3854	25532
787	3858	25518
788	3861	25506
789	3865	25493
790	3869	25480
791	3873	25468
792	3876	25456
793	3880	25442
794	3884	25429
795	3887	25417
796	3891	25404
797	3895	25393
798	3899	25382
799	3903	25371
800	3907	25359
801	3910	25346
802	3914	25333
803	3918	25323
804	3922	25312
805	3926	25301
806	3930	25292
807	3934	25279
808	3938	25268
809	3941	25256
810	3945	25246
811	3949	25233
812	3953	25220
813	3956	25208
814	3960	25197
815	3964	25185
816	3968	25174
817	3972	25162
818	3975	25151
819	3979	25140
820	3983	25128
821	3987	25116
822	3990	25103
823	3994	25093
824	3998	25081
825	4002	25069
826	4005	25057
827	4009	25045
828	4013	25033
829	4016	25021
830	4020	25010
831	4024	24997
832	4028	24987
833	4032	24976
834	4035	24964
835	4039	24953
836	4043	24942
837	4047	24930
838	4050	24919
839	4054	24906
840	4058	24895
841	4062	24884
842	4066	24873
843	4070	24864
844	4073	24853
845	4077	24842
846	4081	24830
847	4085	24819
848	4089	24808
849	4092	24797
850	4096	24785
851	4100	24774
852	4103	24763
853	4107	24751
854	4111	24740
855	4115	24728
856	4118	24716
857	4122	24705
858	4126	24694
859	4129	24682
860	4133	24671
861	4137	24659
862	4141	24652
863	4145	24642
864	4149	24631
865	4152	24620
866	4156	24608
867	4160	24596
868	4163	24585
869	4167	24573
870	4171	24563
871	4175	24553
872	4178	24541
873	4182	24530
874	4186	24520
875	4190	24509
